ActivityType	DateTime	TransDateTime	Symbol	OrderActionSource	InternalOrderID	ServiceOrderID	OrderType	Quantity	BuySell	Price	Price2	OrderStatus	FillPrice	FilledQuantity	TradeAccount	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	Note	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-07-28  08:20:52.903621	2026-07-28  08:20:52.903606	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true. Attached Order | Client side OCO order	3605		Limit		Sell	2801350.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3604					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903654	2026-07-28  08:20:52.903650	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true. Attached Order | Client side OCO order	3606		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3604					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903663	2026-07-28  08:20:52.903659	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true	3604		Market	6	Buy			Order Sent			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903680	2026-07-28  08:20:52.903678	[Sim]NQU26_FUT_CME	Simulated order accepted	3604	3604	Market	6	Buy			Open			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903717	2026-07-28  08:20:52.903715	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27961.75 Ask: 27963.50 Last: 27961.75	3604	3604	Market	6	Buy			Filled	2796350.0000000	6	Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-28  08:20:52.903721	2026-07-28  08:20:52.903711	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27961.75 Ask: 27963.50 Last: 27961.75	3604	3604	Market	6	Buy			Filled	2796350.0000000	6	Sim1 [EVAL]	Open		6	3604.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903785	2026-07-28  08:20:52.903784	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2796350	3606		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3604					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903788	2026-07-28  08:20:52.903787	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2801350	3606		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3604					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903798	2026-07-28  08:20:52.903796	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3605		Limit	6	Sell	2801350.0000000		Order Sent			Sim1 [EVAL]	Close	3604	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903806	2026-07-28  08:20:52.903804	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3606		Stop	6	Sell	2793850.0000000		Order Sent			Sim1 [EVAL]	Close	3604	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903814	2026-07-28  08:20:52.903813	[Sim]NQU26_FUT_CME	Simulated order accepted	3605	3605	Limit	6	Sell	2801350.0000000		Open			Sim1 [EVAL]	Close	3604	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903818	2026-07-28  08:20:52.903817	[Sim]NQU26_FUT_CME	Simulated order accepted	3606	3606	Stop	6	Sell	2793850.0000000		Open			Sim1 [EVAL]	Close	3604	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903845	2026-07-28  08:20:52.903842	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true. Attached Order | Client side OCO order	3608		Limit		Sell	2803850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3607	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903851	2026-07-28  08:20:52.903847	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true. Attached Order | Client side OCO order	3609		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3607	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903857	2026-07-28  08:20:52.903854	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27961.75 | AOE=true | AOU=true	3607		Market	1	Buy			Order Sent			Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903861	2026-07-28  08:20:52.903861	[Sim]NQU26_FUT_CME	Simulated order accepted	3607	3607	Market	1	Buy			Open			Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903879	2026-07-28  08:20:52.903878	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27961.75 Ask: 27963.50 Last: 27961.75	3607	3607	Market	1	Buy			Filled	2796350.0000000	1	Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-28  08:20:52.903893	2026-07-28  08:20:52.903871	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27961.75 Ask: 27963.50 Last: 27961.75	3607	3607	Market	1	Buy			Filled	2796350.0000000	1	Sim1 [EVAL]	Open		7	3607.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903904	2026-07-28  08:20:52.903903	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2796350	3609		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3607					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903906	2026-07-28  08:20:52.903905	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2801350	3609		Stop		Sell	2793850.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3607					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903911	2026-07-28  08:20:52.903910	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3608		Limit	1	Sell	2803850.0000000		Order Sent			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903916	2026-07-28  08:20:52.903915	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3609		Stop	1	Sell	2793850.0000000		Order Sent			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903922	2026-07-28  08:20:52.903921	[Sim]NQU26_FUT_CME	Simulated order accepted	3608	3608	Limit	1	Sell	2803850.0000000		Open			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:20:52.903927	2026-07-28  08:20:52.903926	[Sim]NQU26_FUT_CME	Simulated order accepted	3609	3609	Stop	1	Sell	2793850.0000000		Open			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:38:10.091013	2026-07-28  08:38:10.091006	[Sim]NQU26_FUT_CME	Auto trail order modification. 1. Trigger price: 28013.75. Using LastModifyQuantity of 6. Using new provided price. Requested Price: 27964.50. Requested Quantity: 6	3606	3606	Stop	6	Sell	2793850.0000000		Pending Modify			Sim1 [EVAL]	Close	3604	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:38:10.091063	2026-07-28  08:38:10.091061	[Sim]NQU26_FUT_CME	Simulated order modify complete	3606	3606	Stop	6	Sell	2796450.0000000		Open			Sim1 [EVAL]	Close	3604	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:38:10.091151	2026-07-28  08:38:10.091149	[Sim]NQU26_FUT_CME	Auto trail order modification. 1. Trigger price: 28013.75. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 27964.50. Requested Quantity: 1	3609	3609	Stop	1	Sell	2793850.0000000		Pending Modify			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:38:10.091158	2026-07-28  08:38:10.091157	[Sim]NQU26_FUT_CME	Simulated order modify complete	3609	3609	Stop	1	Sell	2796450.0000000		Open			Sim1 [EVAL]	Close	3607	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-28  08:38:40.565147	2026-07-28  08:38:40.565140	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 28013.50 Ask: 28014.75 Last: 28014.25	3605	3605	Limit	6	Sell	2801350.0000000		Filled	2801350.0000000	6	Sim1 [EVAL]	Close	3604	7				SwissPropFirm.twconfig	0.00			Day		N
